product_id,category,sales,rating,review_count,views,added_to_cart,wishlist_adds_product,product_availability
prod_18,fruits,1798,3.7,441,3437,229,305,Andhra Pradesh
prod_19,fruits,406,3.6,406,5515,491,203,Andhra Pradesh
prod_20,fruits,959,3.6,425,6278,230,179,Andhra Pradesh
prod_21,dairy,531,4.0,420,3071,128,294,Andhra Pradesh
prod_22,fruits,1496,4.4,391,2969,112,144,Andhra Pradesh
prod_23,fruits,962,4.7,106,5591,311,207,Andhra Pradesh
prod_24,vegetables,359,4.8,198,2986,422,197,Andhra Pradesh
prod_25,vegetables,1352,3.8,284,6455,277,116,Andhra Pradesh
prod_26,vegetables,1714,4.3,199,1779,232,245,Andhra Pradesh
prod_27,fruits,1379,4.5,190,3813,430,353,Goa
prod_28,fruits,626,4.1,62,3389,473,265,Andhra Pradesh
prod_29,fruits,1814,4.8,230,920,138,92,Goa
prod_30,fruits,1074,4.6,218,3312,450,160,Bihar
prod_31,fruits,1348,5.0,150,7392,261,239,Haryana
prod_32,fruits,1698,4.1,281,4336,194,58,Haryana
prod_33,fruits,993,4.7,68,6691,399,300,Dadra & Nagar Haveli
prod_34,fruits,1932,4.4,304,5264,478,85,Assam
prod_35,fruits,832,4.1,387,6699,388,388,Assam
prod_36,fruits,273,3.5,75,6471,223,265,Chhattisgarh
prod_37,vegetables,1004,4.0,416,711,493,371,Daman & Diu
prod_38,vegetables,1419,4.8,446,4945,412,213,Lakshadweep
prod_39,vegetables,1642,4.8,59,2983,296,176,Haryana
prod_40,vegetables,379,4.0,429,4090,124,260,Assam
prod_41,vegetables,424,3.8,315,6081,315,71,Goa
prod_42,vegetables,746,4.3,301,3723,305,316,Andaman and Nicobar Islands
prod_43,vegetables,749,4.2,447,911,303,311,Haryana
prod_44,vegetables,365,5.0,340,6596,432,250,Chhattisgarh
prod_45,grains,315,4.6,128,6489,202,129,Assam
prod_46,grains,975,3.8,233,7823,437,368,Dadra & Nagar Haveli
prod_47,grains,1908,4.0,481,4925,164,199,Bihar
prod_48,dairy,371,3.8,463,4742,306,67,Jammu & Kashmir
prod_49,dairy,1191,3.6,180,7284,241,322,Arunachal Pradesh
prod_50,dairy,1040,3.7,301,4243,101,89,Haryana
prod_51,meat,1888,3.5,185,5134,445,301,Madhya Pradesh
prod_52,meat,1761,3.8,133,2456,301,272,Goa
prod_53,beverages,1397,4.2,465,7392,459,142,Lakshadweep
prod_54,beverages,756,4.1,473,4961,419,89,Andhra Pradesh
prod_55,snacks,1672,3.7,341,3555,127,246,Andaman and Nicobar Islands
prod_56,snacks,460,4.8,485,943,164,228,Jharkhand
prod_57,fruits,670,4.8,72,7145,389,119,Madhya Pradesh
prod_58,fruits,167,4.0,252,6717,272,99,Kerala
prod_59,fruits,1063,3.6,251,3983,258,344,Andhra Pradesh
prod_60,fruits,1418,4.4,297,3513,277,363,Daman & Diu
prod_61,fruits,1936,3.8,176,5627,440,165,Kerala
prod_62,fruits,1416,3.8,376,6672,488,269,Himachal Pradesh
prod_63,fruits,1558,4.1,113,3404,332,226,Lakshadweep
prod_64,fruits,591,4.8,89,4043,260,84,Arunachal Pradesh
prod_65,fruits,1634,4.8,492,4372,299,277,Dadra & Nagar Haveli
